gdp_per_capita,life_expectancy,social_support,score
0.81217,0.47036,1.1677383000193489,5.279
1.0278,0.73561,1.2273497259870565,5.245
0.8527,0.49759,1.1569396607055968,5.196
0.56044,0.55449,1.102144097446572,5.185
1.03437,0.6458,1.1774270464560763,5.177
0.93383,0.70766,1.1587784623412725,5.163
1.07838,0.63533,1.1842565600748929,5.161
1.02787,0.57669,1.2088452801681586,5.155
0.84058,0.59471,1.1470497239172197,5.151
1.24142,0.67608,1.2282293750278015,5.145
0.68816,0.40306,1.0801575498068337,5.132
1.12268,0.76171,1.224824538648464,5.129
1.27607,0.79363,1.2795033141444945,5.123
1.0193,0.64738,1.1935816547712177,5.121
0.74037,0.66157,1.1642091297419794,5.061
0.25558,0.33108,1.010206848678716,5.057
0.97724,0.59577,1.1649034996000274,5.045
1.24886,0.80029,1.223610676319617,5.033
0.48835,0.53119,1.0796334193138528,4.996
0.98853,0.55469,1.1542490030214698,4.907
0.68042,0.38291,1.0866078084985482,4.876
0.75216,0.05108,1.0304602110873888,4.875
0.69429,0.58383,1.090437407057918,4.871
1.11758,0.64232,1.1646703985248554,4.813
0.61202,0.23573,1.0349992073630994,4.795
0.44626,0.50073,1.0340179264567178,4.793
0.67024,0.56844,1.0584835330378703,4.754
0.9553,0.73007,1.1327380262128943,4.655
0.54177,0.52989,1.035695651080038,4.643
0.36485,0.0,0.9214240906655512,4.635
1.07474,0.51076,1.1083661920246888,4.575
0.93287,0.34745,1.0876566909740388,4.574
0.52497,0.12698,0.9641823247592052,4.513
0.29283,0.34578,0.9434066646684194,4.508
1.02416,0.18611,1.0599167345004668,4.459
0.97318,0.62007,1.110810818685622,4.415
0.74036,0.45091,1.031917700268864,4.404
0.34112,0.3988,0.9518176612293096,4.395
0.95395,0.52116,1.053562393051939,4.362
0.86086,0.64083,1.0479184878236254,4.36
0.52267,0.30147,0.9688913846958692,4.356
0.87287,0.58628,1.038289843450998,4.324
0.63107,0.29681,0.977532751412219,4.276
0.05661,0.188,0.8265771023842523,4.272
0.83792,0.64035,1.0522623194295084,4.252
0.77109,0.28212,0.9965343848486968,4.236
0.44314,0.40457,0.9414188798223444,4.219
1.11306,0.67806,1.095772955177227,4.217
0.61391,0.28639,0.9377845756732396,4.201
0.35041,0.1595,0.8852099209420121,4.193
0.08709,0.29364,0.865574873645887,4.156
0.63069,0.29759,0.9218392418609492,4.139
1.15851,0.3494,1.058733967602129,4.121
0.31292,0.16347,0.8650999412557248,4.073
0.34097,0.27494,0.861236401712467,4.028
1.09426,0.34752,1.0412004513425552,3.974
0.27509,0.29981,0.8455092286599684,3.956
0.55507,0.04476,0.8868930900353265,3.916
0.55604,0.42494,0.9581932990391048,3.907
0.84731,0.04991,0.892499088299419,3.866
0.1327,0.26162,0.8265222744089105,3.856
0.39394,0.15781,0.8390381376386327,3.832
0.42214,0.03824,0.8093166247977457,3.763
0.31995,0.21297,0.8333181171416033,3.739
0.34719,0.19625,0.8477147149687565,3.739
0.57939,0.31048,0.8847001192005324,3.724
0.27954,0.37109,0.8217896535525884,3.695
0.47155,0.357,0.8727646244358755,3.666
0.10706,0.23165,0.7733724946371869,3.622
0.22415,0.18829,0.7945571374892275,3.607
0.32846,0.31865,0.8419173016971626,3.515
0.39499,0.21028,0.8197000826695826,3.484
0.38227,0.17344,0.7643275246668835,3.36
0.28123,0.24811,0.7662497702378133,3.303
0.74719,0.62994,0.8316650892207715,3.069
0.06831,0.15747,0.606842686421107,2.905
1.61646318435669,0.796666502952576,1.6621224538805812,7.53700017929077
1.48238301277161,0.792565524578094,1.6339581494816713,7.52199983596802
1.480633020401,0.833552122116089,1.6375725174763431,7.50400018692017
1.56497955322266,0.858131289482117,1.655984043550009,7.49399995803833
1.44357192516327,0.80915766954422,1.623121964907417,7.4689998626709
1.50394463539124,0.810696125030518,1.6152726024551072,7.3769998550415
1.47920441627502,0.83455765247345,1.60668460539555,7.31599998474121
1.40570604801178,0.816759705543518,1.5920889676272374,7.31400012969971
1.49438726902008,0.830875158309937,1.6067389537176195,7.28399991989136
